Fase,Data_inicio_etapa,Data_final_etapa,Etapa,Subetapa,Tarefa,Descricao_operacional,Canal,Responsavel,Aprovador,Dependencia,Data_ancora,Regra_de_data,Recorrencia,Prioridade,Automacao,Ferramenta,Observacoes
Execução,16/04,22/04,Distribuição de Conteúdo,Métricas,Criar dashboard de métricas,,Lookerstudio,Gestor de Projetos,Gestor de Projetos,Planilha criada,Início da etapa,D+3,Não,Alta,Não,Looker/Sheets,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar público vídeo C1 (50% - 30D/60D/90D/180D/360D),,Meta Ads,Gestor de Tráfego,-,-,Início da etapa,D+3,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar público vídeo C2 (50% - 30D/60D/90D/180D/360D),,Meta Ads,Gestor de Tráfego,-,-,Início da etapa,D+3,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar público vídeo C3 (50% - 30D/60D/90D/180D/360D),,Meta Ads,Gestor de Tráfego,-,-,Início da etapa,D+3,Não,Alta,Não,Meta Ads,
Execução,16/04,22/04,Distribuição de Conteúdo,Tráfego,Criar público vídeo C4 (50% - 30D/60D/90D/180D/360D),,Meta Ads,Gestor de Tráfego,-,-,Início da etapa,D+3,Não,Alta,Não,Meta Ads,
Execução,04/05,26/05,Captação de Leads,Criativos,Produzir criativos de captação de leads,,Vídeo,Editor de Vídeo,Gestor de Projetos,Roteiro aprovado,Início da etapa,D-5 Etapa,Não,Alta,Não,-,
Execução,04/05,26/05,Captação de Leads,Criativos,Fazer dublagem dos criativos de captação de leads,,Vídeo,Editor de Vídeo,Gestor de Projetos,Criativos produzidos,Início da etapa,D-5 Etapa,Não,Alta,Não,-,
Execução,04/05,26/05,Captação de Leads,Comunicação,Criar grupos no WhatsApp para captação de leads,,WhatsApp,Gestor de Automação Junior,Gestor de Projetos,-,Início da etapa,D-5 Etapa,Não,Alta,Não,WhatsApp,
Execução,04/05,26/05,Captação de Leads,Páginas,Criar Copy da página de captura,,Web Designer,Copy,Estratégista Senior,-,Início da etapa,D-5 Etapa,Não,Alta,Não,,
Execução,04/05,26/05,Captação de Leads,Páginas,Atualizar página de captura,,Web Designer,Gestor de Tráfego,Gestor de Projetos,Copy pronta,Início da etapa,D-5 Etapa,Não,Alta,Não,,
Execução,04/05,26/05,Captação de Leads,Páginas,Criar Copy da página de Obrigado,,Web Designer,Copy,Estratégista Senior,-,Início da etapa,D-5 Etapa,Não,Alta,Não,,
Execução,04/05,26/05,Captação de Leads,Páginas,Atualizar página de obrigado,,Web Designer,Gestor de Tráfego,Gestor de Projetos,Copy pronta,Início da etapa,D-5 Etapa,Não,Alta,Não,,
Execução,04/05,26/05,Captação de Leads,Páginas,Atualizar pesquisa de alunos,,Interno,Gestor de Tráfego,Gestor de Projetos,-,Início da etapa,D-5 Etapa,Não,Alta,Não,-,
Execução,04/05,26/05,Captação de Leads,Métricas,Criar planilha de dados do lançamento,,Interno,Gestor de Projetos,Estrategista Senior,-,Início da etapa,D-5 Etapa,Não,Alta,Não,Sheets,
Execução,04/05,26/05,Captação de Leads,Métricas,Atualizar planilha de dados do lançamento,,Interno,Gestor de Projetos,-,Planilha criada,Início da etapa,D+0 Etapa,Diário,Alta,Não,Sheets,
Execução,04/05,26/05,Captação de Leads,Automação,Criar automação de boas-vindas no Mautic,,Email,Gestor de Automação Junior,Gestor de Projetos,Copy aprovada,Início da etapa,D-5 Etapa,Não,Alta,Sim,Mautic,
Execução,04/05,26/05,Captação de Leads,Automação,Criar automação de boas-vindas no ManyChat / WhatsApp,,WhatsApp,Gestor de Automação Junior,Gestor de Projetos,Copy aprovada,Início da etapa,D-5 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Automação,Configurar API/ManyChat para boas-vindas após cadastro,,WhatsApp,Gestor de Automação Junior,Gestor de Projetos,Acesso/API disponível,Início da etapa,D-5 Etapa,Não,Alta,Sim,API,
Execução,04/05,26/05,Captação de Leads,Tráfego,Planejamento de Campanhas,,Planilha,Gestor de Projetos,Gestor de Projetos,-,Início da etapa,D-4 Etapa,Não,Alta,Não,Planilha,
Execução,04/05,26/05,Captação de Leads,Tráfego,Criar campanhas de captação padrão (públicos),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Planejamento de Campanhas,Início da etapa,D-2 Etapa,Não,Alta,Não,Meta Ads,
Execução,04/05,26/05,Captação de Leads,Tráfego,Criar campanhas de captação padrão (criativos),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Planejamento de Campanhas,Início da etapa,D-2 Etapa,Não,Alta,Não,Meta Ads,
Execução,04/05,26/05,Captação de Leads,Tráfego,Criar campanhas de teste de criativo,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Planejamento de Campanhas,Início da etapa,D-2 Etapa,Não,Alta,Não,Meta Ads,
Execução,04/05,26/05,Captação de Leads,Tráfego,Criar campanhas de teste de público,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Planejamento de Campanhas,Início da etapa,D-2 Etapa,Não,Alta,Não,Meta Ads,
Execução,04/05,26/05,Captação de Leads,Tráfego,Otimizar campanhas de captação,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Campanhas ativas,Início da etapa,D+0 Etapa,Rotineiro,Alta,Não,Meta Ads,
Execução,06/05,26/05,Captação de Leads,Orgânico,Iniciar publicações de captação orgânica (todas as publicações devem ter um CTA para o evento e uma palavra-chave para automação),,Instagram,Social Media,-,-,Início da etapa,D+7 Etapa,Recorrente,Alta,Não,Instagram,
Execução,11/05,26/05,Captação de Leads,Orgânico,Aumentar de 2X a 3X por dia as públicações,,Instagram,Social Media,-,-,Início da etapa,D+7 Etapa,Recorrente,Alta,Não,Instagram,
Execução,04/05,26/05,Captação de Leads,Comunicação,Enviar mensagem de boas-vindas nos grupos - Todos os dias - 2X ao dia,,WhatsApp,Social Media,Gestor de Projetos,Grupo criado,Início da etapa,D+0 Etapa,Diário 2x,Alta,Não,WhatsApp,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 1 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 2 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 3 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 4 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 5 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 6 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 7 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 8 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 9 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 10 para grupos antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 1 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 1,Início da etapa,D+10 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 2 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 2,Início da etapa,D+11 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 3 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 3,Início da etapa,D+12 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 4 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 4,Início da etapa,D+13 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 5 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 5,Início da etapa,D+14 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 6 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 6,Início da etapa,D+15 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 7 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 7,Início da etapa,D+16 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 8 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 8,Início da etapa,D+17 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 9 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 9,Início da etapa,D+18 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Comunicação,Programar mensagem 10 para grupos antigos,,Grupos,Gestor de Automação Junior,-,Mensagem 10,Início da etapa,D+19 Etapa,Não,Alta,Sim,ManyChat,
Execução,04/05,26/05,Captação de Leads,Setup Social,Atualizar capas dos grupos,,WhatsApp,Social Media,-,Imagem Pronta e Grupos Criados,Início da etapa,D+10 Etapa,Não,Média,Não,-,
Execução,04/05,26/05,Captação de Leads,Setup Social,Atualizar capas das redes sociais,,Instagram,Social Media,-,Imagem Pronta,Início da etapa,D+10 Etapa,Não,Média,Não,Instagram,
Execução,04/05,26/05,Captação de Leads,Setup Social,Criar post fixado do evento,,Instagram,Social Media,-,Copy aprovada e Imagem Criada,Início da etapa,D+10 Etapa,Não,Média,Não,Instagram,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 1 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 2 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 3 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 4 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 5 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 6 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 7 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 8 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 9 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Escrever/Atualizar mensagem 10 para Listas antigos,,Docs,Copy,Gestor de Projetos,-,Início da etapa,D+9 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,26/05,Captação de Leads,Comunicação,Programar mensagem 1 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 1 Lista,Início da etapa,D+10 Etapa,Não,Alta,Sim,ManyChat,
Execução,12/05,26/05,Captação de Leads,Comunicação,Programar mensagem 2 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 2 Lista,Início da etapa,D+11 Etapa,Não,Alta,Sim,ManyChat,
Execução,13/05,26/05,Captação de Leads,Comunicação,Programar mensagem 3 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 3 Lista,Início da etapa,D+12 Etapa,Não,Alta,Sim,ManyChat,
Execução,14/05,26/05,Captação de Leads,Comunicação,Programar mensagem 4 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 4 Lista,Início da etapa,D+13 Etapa,Não,Alta,Sim,ManyChat,
Execução,15/05,26/05,Captação de Leads,Comunicação,Programar mensagem 5 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 5 Lista,Início da etapa,D+14 Etapa,Não,Alta,Sim,ManyChat,
Execução,16/05,26/05,Captação de Leads,Comunicação,Programar mensagem 6 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 6 Lista,Início da etapa,D+15 Etapa,Não,Alta,Sim,ManyChat,
Execução,17/05,26/05,Captação de Leads,Comunicação,Programar mensagem 7 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 7 Lista,Início da etapa,D+16 Etapa,Não,Alta,Sim,ManyChat,
Execução,18/05,26/05,Captação de Leads,Comunicação,Programar mensagem 8 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 8 Lista,Início da etapa,D+17 Etapa,Não,Alta,Sim,ManyChat,
Execução,19/05,26/05,Captação de Leads,Comunicação,Programar mensagem 9 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 9 Lista,Início da etapa,D+18 Etapa,Não,Alta,Sim,ManyChat,
Execução,20/05,26/05,Captação de Leads,Comunicação,Programar mensagem 10 para Listas antigos,,Mautic,Gestor de Automação Junior,-,Mensagem 10 Lista,Início da etapa,D+19 Etapa,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Tráfego,Criar campanhas de distribuição C2 para leads,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Base de leads ativa,Início da etapa,D+0,Não,Alta,Não,Meta Ads,
Execução,11/05,24/05,Aquecimento,Tráfego,Criar campanhas de distribuição C3 para leads,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Base de leads ativa,Início da etapa,D+0,Não,Alta,Não,Meta Ads,
Execução,11/05,24/05,Aquecimento,Tráfego,Criar campanhas de distribuição C4 para leads,,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Base de leads ativa,Início da etapa,D+0,Não,Alta,Não,Meta Ads,
Execução,11/05,24/05,Aquecimento,Lembretes,Produzir criativos de lembrete (Data do evento),,Vídeo,Editor de Vídeo,Estrategista Senior,-,Fim da etapa,D-10,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lembretes,Dublar criativos de lembrete (Data do evento),,Vídeo,Editor de Vídeo,Estrategista Senior,Criativos produzidos,Fim da etapa,D-10,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lembretes,Criar mensagens email lembrete Faltam 7D,,Docs,Copy,Gestor de Projetos,-,Fim da etapa,D-10,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lembretes,Criar mensagens email lembrete Faltam 3D,,Docs,Copy,Gestor de Projetos,-,Fim da etapa,D-10,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lembretes,Criar mensagens email lembrete É Amanhã,,Docs,Copy,Gestor de Projetos,-,Fim da etapa,D-10,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lembretes,Criar mensagens WhatsApp lembrete Faltam 7D,,Docs,Copy,Gestor de Projetos,-,Fim da etapa,D-10,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Lembretes,Criar mensagens WhatsApp lembrete Faltam 3D,,Docs,Copy,Gestor de Projetos,-,Fim da etapa,D-10,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Lembretes,Criar mensagens WhatsApp lembrete É Amanhã,,Docs,Copy,Gestor de Projetos,-,Fim da etapa,D-10,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Lembretes,Programar mensagens email lembrete Faltam 7D,,Mautic,Gestor de Automação Junior,-,Copy pronta,Fim da etapa,D-8,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lembretes,Programar mensagens email lembrete Faltam 3D,,Mautic,Gestor de Automação Junior,-,Copy pronta,Fim da etapa,D-8,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lembretes,Programar mensagens email lembrete É Amanhã,,Mautic,Gestor de Automação Junior,-,Copy pronta,Fim da etapa,D-8,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lembretes,Programar mensagens WhatsApp lembrete Faltam 7D,,Grupos,Gestor de Automação Junior,-,Copy pronta,Fim da etapa,D-8,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Lembretes,Programar mensagens WhatsApp lembrete Faltam 3D,,Grupos,Gestor de Automação Junior,-,Copy pronta,Fim da etapa,D-8,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Lembretes,Programar mensagens WhatsApp lembrete É Amanhã,,Grupos,Gestor de Automação Junior,-,Copy pronta,Fim da etapa,D-8,Não,Alta,Sim,ManyChat,
Execução,11/05,24/05,Aquecimento,Tráfego,Criar campanhas de lembrete (Data do Evento),,Meta Ads,Gestor de Tráfego,Gestor de Projetos,Criativos prontos,Fim da etapa,D-10,Não,Alta,Não,Meta Ads,
Execução,11/05,24/05,Aquecimento,Lives,Configurar live 1 (começa D+1 -\> Data de inicio da etapa),,YouTube,Social Media,-,-,Inicio da etapa,D-2,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lives,Configurar live 2 (começa D+2 -\> Data de inicio da Live 1),,YouTube,Social Media,-,-,Inicio da etapa,D-2,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lives,Configurar live 3 (começa D+2 -\> Data de inicio da Live 2),,YouTube,Social Media,-,-,Inicio da etapa,D-2,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lives,Configurar live 4 (começa D+2 -\> Data de inicio da Live 3),,YouTube,Social Media,-,-,Inicio da etapa,D-2,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lives,Configurar live 5 (começa D+2 -\> Data de inicio da Live 4),,YouTube,Social Media,-,-,Inicio da etapa,D-2,Não,Alta,Não,-,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Criar mensagens (antecipação 1 dias antes) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Criar mensagens (antecipação 1hr antes) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Criar mensagens (Estamos ao vivo) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Criar mensagens (Assista a Gravação) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Programar mensagens (antecipação 1 dias antes) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Programar mensagens (antecipação 1hr antes) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Programar mensagens (Estamos ao vivo) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 1 - Programar mensagens (Assista a Gravação) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D-2,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Criar mensagens (antecipação 1 dias antes) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Criar mensagens (antecipação 1hr antes) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Criar mensagens (Estamos ao vivo) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Criar mensagens (Assista a Gravação) - Email,,Email,Copy,Gestor de Projetos,-,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Programar mensagens (antecipação 1 dias antes) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Programar mensagens (antecipação 1hr antes) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Programar mensagens (Estamos ao vivo) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
Execução,11/05,24/05,Aquecimento,Lives,Live 2 - Programar mensagens (Assista a Gravação) - Email,,Email,Gestor de Automação Junior,-,Copy pronta,Inicio da etapa,D+1,Não,Alta,Sim,Mautic,
